invoice_number,stock_code,detail,quantity,invoice_date,unit_price,customer_id,country
544337,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,12,2011-02-18,0.850,13425,United Kingdom
544337,84378,SET OF 3 HEART COOKIE CUTTERS,12,2011-02-18,1.250,13425,United Kingdom
544337,22965,3 TRADITIONAl BISCUIT CUTTERS  SET,6,2011-02-18,2.100,13425,United Kingdom
544337,84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,12,2011-02-18,1.250,13425,United Kingdom
544337,22223,CAKE PLATE LOVEBIRD PINK,3,2011-02-18,4.950,13425,United Kingdom
544337,22222,CAKE PLATE LOVEBIRD WHITE,3,2011-02-18,4.950,13425,United Kingdom
544337,84987,SET OF 36 TEATIME PAPER DOILIES,12,2011-02-18,1.450,13425,United Kingdom
544337,21212,PACK OF 72 RETROSPOT CAKE CASES,24,2011-02-18,0.550,13425,United Kingdom
544337,21976,PACK OF 60 MUSHROOM CAKE CASES,24,2011-02-18,0.550,13425,United Kingdom
544337,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2011-02-18,2.950,13425,United Kingdom
544337,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-02-18,1.690,13425,United Kingdom
544337,21987,PACK OF 6 SKULL PAPER CUPS,12,2011-02-18,0.650,13425,United Kingdom
544337,47590B,PINK HAPPY BIRTHDAY BUNTING,3,2011-02-18,5.450,13425,United Kingdom
544337,22355,CHARLOTTE BAG SUKI DESIGN,10,2011-02-18,0.850,13425,United Kingdom
544337,20727,LUNCH BAG  BLACK SKULL.,10,2011-02-18,1.650,13425,United Kingdom
544337,20728,LUNCH BAG CARS BLUE,10,2011-02-18,1.650,13425,United Kingdom
544337,22382,LUNCH BAG SPACEBOY DESIGN ,10,2011-02-18,1.650,13425,United Kingdom
544337,84997D,PINK 3 PIECE POLKADOT CUTLERY SET,4,2011-02-18,4.150,13425,United Kingdom
544337,84997C,BLUE 3 PIECE POLKADOT CUTLERY SET,4,2011-02-18,4.150,13425,United Kingdom
544337,22437,SET OF 9 BLACK SKULL BALLOONS,20,2011-02-18,0.850,13425,United Kingdom
544337,21327,SKULLS WRITING SET ,12,2011-02-18,1.650,13425,United Kingdom
544337,21495,SKULLS AND CROSSBONES WRAP,25,2011-02-18,0.420,13425,United Kingdom
544337,22384,LUNCH BAG PINK POLKADOT,10,2011-02-18,1.650,13425,United Kingdom
544337,21213,PACK OF 72 SKULL CAKE CASES,24,2011-02-18,0.550,13425,United Kingdom
544338,21210,SET OF 72 RETROSPOT PAPER  DOILIES,12,2011-02-18,1.450,12852,United Kingdom
544338,22898,CHILDRENS APRON APPLES DESIGN,8,2011-02-18,1.950,12852,United Kingdom
544338,22698,PINK REGENCY TEACUP AND SAUCER,6,2011-02-18,2.950,12852,United Kingdom
544338,21211,SET OF 72 SKULL PAPER  DOILIES,12,2011-02-18,1.450,12852,United Kingdom
544338,22367,CHILDRENS APRON SPACEBOY DESIGN,8,2011-02-18,1.950,12852,United Kingdom
544338,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,3,2011-02-18,4.950,12852,United Kingdom
544338,22644,CERAMIC CHERRY CAKE MONEY BANK,24,2011-02-18,1.450,12852,United Kingdom
544338,22416,SET OF 36 DOILIES SPACEBOY DESIGN ,12,2011-02-18,1.450,12852,United Kingdom
544338,21974,SET OF 36 PAISLEY FLOWER DOILIES,12,2011-02-18,1.450,12852,United Kingdom
544338,22697,GREEN REGENCY TEACUP AND SAUCER,6,2011-02-18,2.950,12852,United Kingdom
544338,22699,ROSES REGENCY TEACUP AND SAUCER ,6,2011-02-18,2.950,12852,United Kingdom
