invoice_number,stock_code,detail,quantity,invoice_date,unit_price,customer_id,country
543492,22986,GINGHAM ROSE WRAP,25,2011-02-09,0.420,12720,Germany
543483,85053,FRENCH ENAMEL CANDLEHOLDER,6,2011-02-09,2.100,18075,United Kingdom
543483,21558,SKULL LUNCH BOX WITH CUTLERY ,6,2011-02-09,2.550,18075,United Kingdom
543483,22963,JAM JAR WITH GREEN LID,12,2011-02-09,0.850,18075,United Kingdom
543483,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-02-09,1.690,18075,United Kingdom
543483,22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,4,2011-02-09,6.750,18075,United Kingdom
543484,20712,JUMBO BAG WOODLAND ANIMALS,10,2011-02-09,1.950,12721,France
543484,22554,PLASTERS IN TIN WOODLAND ANIMALS,12,2011-02-09,1.650,12721,France
543484,22466,FAIRY TALE COTTAGE NIGHTLIGHT,12,2011-02-09,1.950,12721,France
543484,22492,MINI PAINT SET VINTAGE ,36,2011-02-09,0.650,12721,France
543484,85099B,JUMBO BAG RED RETROSPOT,10,2011-02-09,1.950,12721,France
543484,22526,WHEELBARROW FOR CHILDREN ,3,2011-02-09,12.750,12721,France
543484,22521,CHILDS GARDEN TROWEL PINK,12,2011-02-09,0.850,12721,France
543484,22520,CHILDS GARDEN TROWEL BLUE ,12,2011-02-09,0.850,12721,France
543484,15056N,EDWARDIAN PARASOL NATURAL,3,2011-02-09,5.950,12721,France
543484,22857,ASSORTED EASTER GIFT TAGS,12,2011-02-09,0.850,12721,France
543484,22859,EASTER TIN BUNNY BOUQUET,6,2011-02-09,1.650,12721,France
543484,22254,FELT TOADSTOOL LARGE,12,2011-02-09,1.250,12721,France
543484,23232,WRAP VINTAGE PETALS  DESIGN,25,2011-02-09,0.420,12721,France
543484,23230,WRAP ALPHABET DESIGN,25,2011-02-09,0.420,12721,France
543484,21936,RED RETROSPOT PICNIC BAG,5,2011-02-09,2.950,12721,France
543484,21094,SET/6 RED SPOTTY PAPER PLATES,12,2011-02-09,0.850,12721,France
543484,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,12,2011-02-09,0.850,12721,France
543484,21086,SET/6 RED SPOTTY PAPER CUPS,12,2011-02-09,0.650,12721,France
543484,21212,PACK OF 72 RETROSPOT CAKE CASES,24,2011-02-09,0.550,12721,France
543484,21749,LARGE RED RETROSPOT WINDMILL,6,2011-02-09,2.100,12721,France
543484,21746,SMALL RED RETROSPOT WINDMILL,12,2011-02-09,1.250,12721,France
