invoice_number,stock_code,detail,quantity,invoice_date,unit_price,customer_id,country
542595,22856,ASSORTED EASTER DECORATIONS  BELLS,6,2011-01-30,1.250,14040,United Kingdom
542595,21259,VICTORIAN SEWING BOX SMALL ,3,2011-01-30,5.950,14040,United Kingdom
542595,85160B,BLACK BIRD GARDEN DESIGN MUG,6,2011-01-30,1.250,14040,United Kingdom
542595,22197,SMALL POPCORN HOLDER,10,2011-01-30,0.850,14040,United Kingdom
542595,22667,RECIPE BOX RETROSPOT ,3,2011-01-30,2.950,14040,United Kingdom
542595,21755,LOVE BUILDING BLOCK WORD,3,2011-01-30,5.950,14040,United Kingdom
542595,22470,HEART OF WICKER LARGE,4,2011-01-30,2.950,14040,United Kingdom
542595,22491,PACK OF 12 COLOURED PENCILS,4,2011-01-30,0.850,14040,United Kingdom
542595,22821,GIFT BAG PSYCHEDELIC APPLES,12,2011-01-30,0.650,14040,United Kingdom
542595,22489,PACK OF 12 TRADITIONAL CRAYONS,4,2011-01-30,0.420,14040,United Kingdom
542595,21717,EASTER TIN BUCKET,4,2011-01-30,2.550,14040,United Kingdom
542595,85205B,PINK FELT EASTER RABBIT GARLAND,3,2011-01-30,2.550,14040,United Kingdom
542595,84459A,PINK METAL CHICKEN HEART ,3,2011-01-30,1.490,14040,United Kingdom
542595,85200,BUNNY EGG BOX,6,2011-01-30,1.250,14040,United Kingdom
542595,22808,SET OF 6 T-LIGHTS EASTER CHICKS,3,2011-01-30,2.950,14040,United Kingdom
542595,22241,GARLAND WOODEN HAPPY EASTER,4,2011-01-30,1.250,14040,United Kingdom
542595,22247,BUNNY DECORATION MAGIC GARDEN,4,2011-01-30,0.850,14040,United Kingdom
542595,21733,RED HANGING HEART T-LIGHT HOLDER,32,2011-01-30,2.550,14040,United Kingdom
542595,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,2011-01-30,2.550,14040,United Kingdom
542596,48188,DOORMAT WELCOME PUPPIES,3,2011-01-30,7.950,14532,United Kingdom
542596,48138,DOORMAT UNION FLAG,5,2011-01-30,7.950,14532,United Kingdom
542596,48194,DOORMAT HEARTS,3,2011-01-30,7.950,14532,United Kingdom
542596,48111,DOORMAT 3 SMILEY CATS,3,2011-01-30,7.950,14532,United Kingdom
542597,48129,DOORMAT TOPIARY,3,2011-01-30,7.950,16326,United Kingdom
542598,72741,GRAND CHOCOLATECANDLE,9,2011-01-30,1.450,14805,United Kingdom
542599,84378,SET OF 3 HEART COOKIE CUTTERS,3,2011-01-30,1.250,17062,United Kingdom
542599,21358,TOAST ITS - HAPPY BIRTHDAY,3,2011-01-30,1.250,17062,United Kingdom
542599,21355,TOAST ITS - I LOVE YOU ,3,2011-01-30,1.250,17062,United Kingdom
542599,22469,HEART OF WICKER SMALL,4,2011-01-30,1.650,17062,United Kingdom
542599,22079,RIBBON REEL HEARTS DESIGN ,5,2011-01-30,1.650,17062,United Kingdom
542599,72232,FENG SHUI PILLAR CANDLE,36,2011-01-30,0.190,17062,United Kingdom
