invoice_number,stock_code,detail,quantity,invoice_date,unit_price,customer_id,country
543386,16207B,,4,2011-02-08,0.000,,United Kingdom
543387,22029,SPACEBOY BIRTHDAY CARD,144,2011-02-08,0.360,14646,Netherlands
543387,21509,COWBOYS AND INDIANS BIRTHDAY CARD ,72,2011-02-08,0.360,14646,Netherlands
543387,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,48,2011-02-08,2.550,14646,Netherlands
543387,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,48,2011-02-08,2.550,14646,Netherlands
543387,21124,SET/10 BLUE POLKADOT PARTY CANDLES,288,2011-02-08,1.060,14646,Netherlands
543387,21507,"ELEPHANT, BIRTHDAY CARD, ",72,2011-02-08,0.360,14646,Netherlands
543387,POST,POSTAGE,10,2011-02-08,15.000,14646,Netherlands
543387,22417,PACK OF 60 SPACEBOY CAKE CASES,120,2011-02-08,0.420,14646,Netherlands
543387,22714,CARD BIRTHDAY COWBOY,72,2011-02-08,0.360,14646,Netherlands
543387,22966,GINGERBREAD MAN COOKIE CUTTER,24,2011-02-08,1.250,14646,Netherlands
543387,22630,DOLLY GIRL LUNCH BOX,64,2011-02-08,1.650,14646,Netherlands
543387,22899,CHILDREN'S APRON DOLLY GIRL ,50,2011-02-08,1.850,14646,Netherlands
543387,22629,SPACEBOY LUNCH BOX ,64,2011-02-08,1.650,14646,Netherlands
543387,22378,WALL TIDY RETROSPOT ,50,2011-02-08,1.850,14646,Netherlands
543389,23230,WRAP ALPHABET DESIGN,25,2011-02-08,0.420,17841,United Kingdom
543389,21967,PACK OF 12 SKULL TISSUES,6,2011-02-08,0.290,17841,United Kingdom
543389,47422,ASSORTED MONKEY SUCTION CUP HOOK,4,2011-02-08,0.420,17841,United Kingdom
543391,22470,HEART OF WICKER LARGE,6,2011-02-08,2.950,14475,United Kingdom
543391,22469,HEART OF WICKER SMALL,12,2011-02-08,1.650,14475,United Kingdom
543391,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2011-02-08,2.950,14475,United Kingdom
543391,22457,NATURAL SLATE HEART CHALKBOARD ,6,2011-02-08,2.950,14475,United Kingdom
543391,22595,GINGHAM HEART DECORATION,12,2011-02-08,0.850,14475,United Kingdom
543391,85099B,JUMBO BAG RED RETROSPOT,10,2011-02-08,1.950,14475,United Kingdom
543391,46000R,POLYESTER FILLER PAD 45x30cm,6,2011-02-08,1.450,14475,United Kingdom
543391,22786,CUSHION COVER PINK UNION JACK,6,2011-02-08,5.950,14475,United Kingdom
543391,22464,HANGING METAL HEART LANTERN,12,2011-02-08,1.650,14475,United Kingdom
543391,21700,BIG DOUGHNUT FRIDGE MAGNETS,24,2011-02-08,0.850,14475,United Kingdom
543391,21411,GINGHAM HEART  DOORSTOP RED,3,2011-02-08,4.250,14475,United Kingdom
543391,22767,TRIPLE PHOTO FRAME CORNICE ,4,2011-02-08,9.950,14475,United Kingdom
543391,20725,LUNCH BAG RED RETROSPOT,10,2011-02-08,1.650,14475,United Kingdom
543391,20727,LUNCH BAG  BLACK SKULL.,10,2011-02-08,1.650,14475,United Kingdom
543392,22666,RECIPE BOX PANTRY YELLOW DESIGN,48,2011-02-08,2.550,16839,United Kingdom
543392,22915,ASSORTED BOTTLE TOP  MAGNETS ,12,2011-02-08,0.420,16839,United Kingdom
543392,22352,LUNCH BOX WITH CUTLERY RETROSPOT ,60,2011-02-08,2.100,16839,United Kingdom
543392,22829,SWEETHEART WIRE WALL TIDY,8,2011-02-08,8.500,16839,United Kingdom
543392,21313,GLASS HEART T-LIGHT HOLDER ,96,2011-02-08,0.640,16839,United Kingdom
543392,21533,RETROSPOT LARGE MILK JUG,12,2011-02-08,4.250,16839,United Kingdom
543392,84978,HANGING HEART JAR T-LIGHT HOLDER,72,2011-02-08,1.060,16839,United Kingdom
543392,71459,HANGING JAM JAR T-LIGHT HOLDER,96,2011-02-08,0.720,16839,United Kingdom
543392,22659,LUNCH BOX I LOVE LONDON,12,2011-02-08,1.950,16839,United Kingdom
543393,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,10,2011-02-08,1.950,13534,United Kingdom
543393,20713,JUMBO BAG OWLS,10,2011-02-08,1.950,13534,United Kingdom
543393,48185,DOORMAT FAIRY CAKE,4,2011-02-08,7.950,13534,United Kingdom
543393,22385,JUMBO BAG SPACEBOY DESIGN,10,2011-02-08,1.950,13534,United Kingdom
543393,20723,STRAWBERRY CHARLOTTE BAG,10,2011-02-08,0.850,13534,United Kingdom
543393,22355,CHARLOTTE BAG SUKI DESIGN,10,2011-02-08,0.850,13534,United Kingdom
543393,22356,CHARLOTTE BAG PINK POLKADOT,10,2011-02-08,0.850,13534,United Kingdom
543393,20716,PARTY FOOD SHOPPER BAG,10,2011-02-08,1.250,13534,United Kingdom
543393,21931,JUMBO STORAGE BAG SUKI,10,2011-02-08,1.950,13534,United Kingdom
543394,85123A,WHITE HANGING HEART T-LIGHT HOLDER,96,2011-02-08,2.550,15797,United Kingdom
543394,22723,SET OF 6 HERB TINS SKETCHBOOK,96,2011-02-08,3.450,15797,United Kingdom
543394,22721,SET OF 3 CAKE TINS SKETCHBOOK,96,2011-02-08,4.250,15797,United Kingdom
543394,22665,RECIPE BOX BLUE SKETCHBOOK DESIGN,96,2011-02-08,2.550,15797,United Kingdom
543394,84375,SET OF 20 KIDS COOKIE CUTTERS,144,2011-02-08,1.850,15797,United Kingdom
543396,84946,ANTIQUE SILVER TEA GLASS ETCHED,216,2011-02-08,1.060,15189,United Kingdom
543396,22457,NATURAL SLATE HEART CHALKBOARD ,18,2011-02-08,2.950,15189,United Kingdom
543396,21658,GLASS  BEURRE DISH,8,2011-02-08,3.950,15189,United Kingdom
