invoice_number,stock_code,detail,quantity,invoice_date,unit_price,customer_id,country
538849,20713,JUMBO BAG OWLS,7,2010-12-14,1.950,14415,United Kingdom
538877,20960,WATERMELON BATH SPONGE,4,2010-12-14,2.510,,United Kingdom
538877,22378,WALL TIDY RETROSPOT ,4,2010-12-14,5.060,,United Kingdom
538687,22961,JAM MAKING SET PRINTED,96,2010-12-14,1.250,13324,United Kingdom
538687,22666,RECIPE BOX PANTRY YELLOW DESIGN,24,2010-12-14,2.550,13324,United Kingdom
538687,22665,RECIPE BOX BLUE SKETCHBOOK DESIGN,24,2010-12-14,2.550,13324,United Kingdom
538687,47567B,TEA TIME KITCHEN APRON,50,2010-12-14,4.650,13324,United Kingdom
538687,22423,REGENCY CAKESTAND 3 TIER,16,2010-12-14,10.950,13324,United Kingdom
538688,85099C,JUMBO  BAG BAROQUE BLACK WHITE,10,2010-12-14,1.950,14829,United Kingdom
538688,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,10,2010-12-14,1.950,14829,United Kingdom
538688,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,6,2010-12-14,4.950,14829,United Kingdom
538688,22722,SET OF 6 SPICE TINS PANTRY DESIGN,8,2010-12-14,3.950,14829,United Kingdom
538688,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,12,2010-12-14,0.850,14829,United Kingdom
538688,84799,SPRIG LAVENDER ARTIFICIAL FLOWER,48,2010-12-14,0.420,14829,United Kingdom
538688,22744,MAKE YOUR OWN MONSOON CARD KIT,6,2010-12-14,2.950,14829,United Kingdom
538689,47591D,PINK FAIRY CAKE CHILDRENS APRON,8,2010-12-14,1.950,13050,United Kingdom
538689,22469,HEART OF WICKER SMALL,12,2010-12-14,1.650,13050,United Kingdom
538689,22158,3 HEARTS HANGING DECORATION RUSTIC,8,2010-12-14,2.950,13050,United Kingdom
538689,22766,PHOTO FRAME CORNICE,8,2010-12-14,2.950,13050,United Kingdom
538689,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,12,2010-12-14,2.950,13050,United Kingdom
538689,82484,WOOD BLACK BOARD ANT WHITE FINISH,3,2010-12-14,6.450,13050,United Kingdom
538689,21868,POTTING SHED TEA MUG,12,2010-12-14,1.250,13050,United Kingdom
538689,21874,GIN AND TONIC MUG,12,2010-12-14,1.250,13050,United Kingdom
538689,21314,SMALL GLASS HEART TRINKET POT,8,2010-12-14,2.100,13050,United Kingdom
538689,21790,VINTAGE SNAP CARDS,12,2010-12-14,0.850,13050,United Kingdom
538689,82483,WOOD 2 DRAWER CABINET WHITE FINISH,4,2010-12-14,5.950,13050,United Kingdom
538689,21484,CHICK GREY HOT WATER BOTTLE,4,2010-12-14,3.450,13050,United Kingdom
538689,21876,POTTERING MUG,36,2010-12-14,0.420,13050,United Kingdom
538689,21485,RETROSPOT HEART HOT WATER BOTTLE,3,2010-12-14,4.950,13050,United Kingdom
538697,22222,CAKE PLATE LOVEBIRD WHITE,24,2010-12-14,1.950,13948,United Kingdom
538697,84766,SILVER ROCOCO CANDLE STICK,12,2010-12-14,1.950,13948,United Kingdom
538697,84823,DANISH ROSE FOLDING CHAIR,4,2010-12-14,7.950,13948,United Kingdom
538706,22153,ANGEL DECORATION STARS ON DRESS,48,2010-12-14,0.420,14667,United Kingdom
538706,22151,PLACE SETTING WHITE HEART,48,2010-12-14,0.420,14667,United Kingdom
538706,72800E,4 IVORY DINNER CANDLES SILVER FLOCK,12,2010-12-14,2.100,14667,United Kingdom
538706,22294,HEART FILIGREE DOVE  SMALL,24,2010-12-14,1.250,14667,United Kingdom
538706,21326,AGED GLASS SILVER T-LIGHT HOLDER,24,2010-12-14,0.650,14667,United Kingdom
538706,22154,ANGEL DECORATION 3 BUTTONS ,144,2010-12-14,0.420,14667,United Kingdom
538706,20711,JUMBO BAG TOYS ,10,2010-12-14,1.950,14667,United Kingdom
538706,21351,CINAMMON & ORANGE WREATH,3,2010-12-14,6.750,14667,United Kingdom
538706,22157,ANGEL DECORATION WITH LACE PADDED,48,2010-12-14,0.850,14667,United Kingdom
538706,84950,ASSORTED COLOUR T-LIGHT HOLDER,24,2010-12-14,0.650,14667,United Kingdom
538706,85104,SILVER GLASS T-LIGHT SET,5,2010-12-14,2.950,14667,United Kingdom
538707,22297,HEART IVORY TRELLIS SMALL,4,2010-12-14,1.250,17894,United Kingdom
538707,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,2010-12-14,2.950,17894,United Kingdom
538707,84946,ANTIQUE SILVER TEA GLASS ETCHED,4,2010-12-14,1.250,17894,United Kingdom
538707,22834,HAND WARMER BABUSHKA DESIGN,4,2010-12-14,2.100,17894,United Kingdom
538707,82482,WOODEN PICTURE FRAME WHITE FINISH,3,2010-12-14,2.550,17894,United Kingdom
