invoice_number,stock_code,detail,quantity,invoice_date,unit_price,customer_id,country
538895,90210D,PURPLE ACRYLIC FACETED BANGLE,12,2010-12-15,1.250,14401,United Kingdom
538895,85180A,RED HEARTS LIGHT CHAIN ,12,2010-12-15,1.250,14401,United Kingdom
538895,85184C,S/4 VALENTINE DECOUPAGE HEART BOX,24,2010-12-15,1.250,14401,United Kingdom
538895,84826,ASSTD DESIGN 3D PAPER STICKERS,60,2010-12-15,0.210,14401,United Kingdom
538895,84827,ASS DES PHONE SPONGE CRAFT STICKER,60,2010-12-15,0.190,14401,United Kingdom
538895,84660C,PINK STITCHED WALL CLOCK,20,2010-12-15,1.250,14401,United Kingdom
538895,84660A,WHITE STITCHED WALL CLOCK,20,2010-12-15,1.250,14401,United Kingdom
538895,84660B,BLACK STITCHED WALL CLOCK,20,2010-12-15,1.250,14401,United Kingdom
538895,82613B,"METAL SIGN,CUPCAKE SINGLE HOOK",20,2010-12-15,0.420,14401,United Kingdom
538895,82613D,METAL SIGN CUPCAKE SINGLE HOOK,20,2010-12-15,0.420,14401,United Kingdom
538895,22647,CERAMIC LOVE HEART MONEY BANK,36,2010-12-15,0.420,14401,United Kingdom
538895,22610,PENS ASSORTED FUNNY FACE,36,2010-12-15,0.210,14401,United Kingdom
538895,22486,PLASMATRONIC LAMP,6,2010-12-15,3.950,14401,United Kingdom
538895,35961,FOLKART ZINC HEART CHRISTMAS DEC,12,2010-12-15,0.850,14401,United Kingdom
538895,85180B,PINK HEARTS LIGHT CHAIN ,12,2010-12-15,1.250,14401,United Kingdom
538896,84625A,PINK NEW BAROQUECANDLESTICK CANDLE,24,2010-12-15,0.850,16145,United Kingdom
538896,84625C,BLUE NEW BAROQUE CANDLESTICK CANDLE,24,2010-12-15,0.850,16145,United Kingdom
538896,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,6,2010-12-15,2.950,16145,United Kingdom
538896,21314,SMALL GLASS HEART TRINKET POT,8,2010-12-15,2.100,16145,United Kingdom
538896,22077,6 RIBBONS RUSTIC CHARM,12,2010-12-15,1.650,16145,United Kingdom
